Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
2020,Data Scientist,MI,FT,6352272.00,DE,DE,L,0
2020,Machine Learning Scientist,SE,FT,20688070.00,JP,JP,S,0
2020,Big Data Engineer,SE,FT,8674985.00,GB,GB,M,50
2020,Product Data Analyst,MI,FT,1591390.00,HN,HN,S,0
2020,Machine Learning Engineer,SE,FT,11935425.00,US,US,L,50
2020,Data Analyst,EN,FT,5729004.00,US,US,L,100
2020,Lead Data Scientist,SE,FT,15118205.00,US,US,S,100
2020,Data Scientist,MI,FT,2843416.00,HU,HU,L,50
2020,Business Data Analyst,MI,FT,10741883.00,US,US,L,100
2020,Lead Data Engineer,SE,FT,9946188.00,NZ,NZ,S,50
2020,Data Scientist,EN,FT,4083586.00,FR,FR,S,0
2020,Data Scientist,MI,FT,3221053.00,IN,IN,L,0
2020,Data Scientist,EN,FT,3176096.00,FR,FR,M,0
2020,Lead Data Analyst,MI,FT,6922547.00,US,US,L,100
2020,Data Analyst,MI,FT,6763408.00,US,US,L,100
2020,Data Analyst,MI,FT,636556.00,PK,PK,L,50
2020,Data Engineer,EN,FT,3317173.00,JP,JP,S,100
2020,Big Data Engineer,SE,FT,9074663.00,PL,GB,S,100
2020,Data Science Consultant,EN,FT,454103.00,IN,IN,M,50
2020,Lead Data Engineer,MI,FT,4455892.00,PT,US,M,100
2020,Machine Learning Engineer,MI,FT,3447826.00,CN,CN,M,0
2020,Product Data Analyst,MI,FT,483146.00,IN,IN,L,100
2020,Data Engineer,SE,FT,3811299.00,GR,GR,L,50
2020,BI Data Analyst,MI,FT,7797811.00,US,US,M,0
2020,Lead Data Scientist,MI,FT,9150493.00,AE,AE,L,0
2020,Director of Data Science,EX,FT,25860088.00,US,US,L,100
2020,Research Scientist,EN,FT,3341919.00,NL,NL,L,50
2020,Data Engineer,SE,FT,2666454.00,MX,MX,S,0
2020,Business Data Analyst,EN,CT,7956950.00,US,US,L,100
2020,Machine Learning Manager,SE,FT,9317907.00,CA,CA,L,50
2020,Data Engineering Manager,MI,FT,4718710.00,DE,DE,S,100
2020,Big Data Engineer,EN,FT,5569865.00,US,US,L,100
2020,Data Scientist,SE,FT,5444782.00,GR,US,L,100
2020,Research Scientist,MI,FT,35806275.00,US,US,M,0
2020,Data Analyst,MI,FT,3720590.00,FR,FR,L,50
2020,Data Engineer,MI,FT,5898487.00,AT,AT,L,50
2020,Data Science Consultant,MI,FT,8195659.00,US,US,L,100
2020,Machine Learning Engineer,EN,FT,19892375.00,US,US,L,50
2020,Data Analyst,EN,FT,795695.00,NG,NG,S,100
2020,Machine Learning Engineer,EN,FT,10980591.00,US,US,S,100
2020,Data Scientist,MI,FT,3641100.00,PH,US,S,100
2020,Data Engineering Manager,EX,FT,6352272.00,ES,ES,L,50
2020,Machine Learning Infrastructure Engineer,MI,FT,3992798.00,PT,PT,M,0
2020,Data Engineer,MI,FT,8434367.00,US,US,L,100
2020,Data Engineer,MI,FT,8981169.00,GB,GB,L,50
2020,ML Engineer,EN,PT,1270407.00,DE,DE,S,100
2020,Data Scientist,MI,FT,6123510.00,GB,GB,S,100
2020,Data Engineer,SE,FT,14959066.00,US,US,L,100
2020,Data Scientist,MI,FT,8354798.00,US,US,L,100
2020,Data Engineer,MI,FT,5580925.00,FR,FR,L,50
2020,Data Analyst,EN,FT,483146.00,IN,IN,S,0
2020,Data Analyst,EN,FT,7240825.00,US,US,L,100
2020,AI Scientist,EN,FT,3651922.00,DK,DK,S,50
2020,Data Engineer,EN,FT,4355794.00,PK,DE,L,100
2020,Computer Vision Engineer,SE,FL,4774170.00,RU,US,S,100
2020,Principal Data Scientist,SE,FT,11797054.00,DE,DE,M,100
2020,Data Scientist,MI,FT,3085387.00,ES,ES,M,100
2020,Data Scientist,MI,FT,9389201.00,US,US,M,100
2020,Data Scientist,SE,FT,9548340.00,US,US,L,50
2020,Data Scientist,MI,FT,11008440.00,US,US,M,100
2020,Data Engineer,MI,FT,8752645.00,US,US,L,100
2020,Data Engineer,MI,FT,10407691.00,ES,US,M,100
2020,Data Scientist,EN,PT,1724191.00,IT,IT,S,50
2020,Data Scientist,SE,FT,32782634.00,US,US,L,100
2020,Machine Learning Engineer,SE,FT,3629801.00,HR,HR,S,100
2020,Data Scientist,EN,FT,4991076.00,DE,DE,S,50
2020,Data Scientist,EN,FT,3920230.00,DE,DE,S,0
2020,Data Science Manager,SE,FT,15134119.00,US,US,M,100
2020,Data Scientist,EN,FT,8354798.00,US,US,S,100
2020,Data Scientist,SE,FT,7259682.00,AT,AT,S,0
2020,Data Scientist,MI,FT,4991076.00,FR,LU,S,50
2020,Data Scientist,MI,FT,3357594.00,FR,FR,S,50
2021,Research Scientist,EN,FT,6566712.00,GB,GB,L,50
2021,BI Data Analyst,EX,FT,11935425.00,IN,US,L,100
2021,Head of Data,EX,FT,18698833.00,US,US,L,100
2021,Data Scientist,SE,FT,4232461.00,FR,FR,L,50
2021,BI Data Analyst,MI,FT,7956950.00,US,US,M,100
2021,3D Computer Vision Researcher,MI,PT,430391.00,IN,IN,M,50
2021,ML Engineer,MI,CT,21483765.00,US,US,L,100
2021,Data Analyst,EN,FT,6365560.00,US,US,M,100
2021,Data Analytics Engineer,SE,FT,6301666.00,DE,DE,L,100
2021,Data Engineer,MI,FT,11139730.00,US,US,L,100
2021,Applied Data Scientist,MI,FT,4315691.00,GB,CA,L,50
2021,Machine Learning Engineer,MI,FT,3762205.00,ES,ES,S,100
2021,Director of Data Science,EX,FT,12227206.00,IT,PL,L,100
2021,Data Engineer,MI,FT,2265821.00,PL,PL,L,100
2021,Data Analyst,EN,FT,4702717.00,FR,FR,M,50
2021,Data Analytics Engineer,MI,FT,8752645.00,US,US,L,100
2021,Lead Data Analyst,SE,FT,13526815.00,US,US,L,100
2021,Data Analyst,SE,FT,6365560.00,BG,US,S,100
2021,Marketing Data Analyst,SE,FT,7054154.00,GR,DK,L,100
2021,Data Science Consultant,EN,FT,6113563.00,DE,DE,S,100
2021,Lead Data Analyst,MI,FT,1560278.00,IN,IN,L,100
2021,Lead Data Engineer,SE,FT,21961182.00,US,US,L,0
2021,Data Scientist,EN,FT,2367272.00,IN,IN,L,50
2021,Cloud Data Engineer,MI,FT,7105079.00,SG,SG,L,50
2021,AI Scientist,EN,PT,954834.00,BR,US,S,100
2021,Financial Data Analyst,MI,FT,35806275.00,US,US,L,100
2021,Computer Vision Software Engineer,EN,FT,5569865.00,US,US,M,100
2021,Computer Vision Software Engineer,MI,FT,7618461.00,DE,US,S,100
2021,Data Analyst,MI,FT,5967713.00,US,US,L,0
2021,Data Engineer,SE,FT,11935425.00,US,US,L,100
2021,BI Data Analyst,MI,FT,2885111.00,HU,US,L,50
2021,Data Analyst,MI,FT,4933309.00,US,US,L,0
2021,Data Scientist,MI,FT,5808574.00,US,US,L,0
2021,Data Analyst,MI,FT,4099341.00,GB,GB,L,50
2021,Research Scientist,MI,FT,14914666.00,CA,CA,L,100
2021,Data Engineer,SE,FT,9150493.00,US,US,S,100
2021,Data Engineer,SE,FT,11935425.00,US,US,M,100
2021,Data Engineer,EN,FT,2421141.00,IN,IN,L,100
2021,Machine Learning Engineer,SE,FT,7524410.00,DE,DE,L,50
2021,Director of Data Engineering,SE,FT,9029229.00,GB,GB,M,100
2021,Lead Data Engineer,SE,FT,8208390.00,GB,GB,S,100
2021,AI Scientist,EN,PT,954834.00,PK,US,M,100
2021,Data Engineer,MI,FT,3611739.00,NL,NL,L,100
2021,Machine Learning Scientist,EN,FT,17903138.00,US,US,L,100
2021,Data Scientist,MI,FT,3978475.00,NG,NG,L,100
2021,Data Science Engineer,MI,FT,3197819.00,GR,GR,M,100
2021,Data Analyst,EN,FT,7161255.00,US,US,S,100
2021,Data Engineer,MI,FT,15913900.00,US,US,L,100
2021,Big Data Engineer,MI,FT,4774170.00,ES,RO,M,50
2021,Principal Data Engineer,SE,FT,15913900.00,US,US,M,100
2021,Data Analyst,EN,FT,3978475.00,US,US,M,100
2021,Applied Data Scientist,EN,FT,8755589.00,GB,GB,L,0
2021,Data Analyst,EN,PT,823863.00,ES,ES,M,50
2021,Principal Data Scientist,MI,FT,12014995.00,US,US,L,100
2021,Machine Learning Scientist,SE,FT,9548340.00,US,US,S,50
2021,Data Scientist,MI,FT,753205.00,IN,IN,S,0
2021,Machine Learning Engineer,EN,FT,1591390.00,IN,IN,S,100
2021,Lead Data Scientist,SE,FT,3228135.00,IN,IN,L,50
2021,Machine Learning Developer,EN,FT,7956950.00,IQ,IQ,S,50
2021,Data Scientist,EN,FT,3950307.00,FR,FR,M,50
2021,Applied Machine Learning Scientist,MI,FT,3055469.00,VN,US,M,100
2021,Computer Vision Engineer,SE,FT,1909668.00,BR,BR,M,100
2021,Data Scientist,EN,FT,7956950.00,US,US,S,0
2021,Data Analyst,MI,FT,7161255.00,US,US,M,100
2021,ML Engineer,MI,FT,5069452.00,JP,JP,S,50
2021,ML Engineer,MI,FT,6155815.00,JP,JP,S,50
2021,Principal Data Scientist,SE,FT,17505290.00,US,US,L,0
2021,Data Scientist,EN,FT,6365560.00,US,US,M,100
2021,Data Analyst,MI,FT,10741883.00,US,US,L,100
2021,Data Science Manager,SE,FT,19096680.00,US,US,L,0
2021,Data Engineering Manager,SE,FT,11935425.00,US,US,L,0
2021,Data Scientist,MI,FT,6564484.00,US,US,S,100
2021,Data Engineer,MI,FT,7956950.00,US,US,L,100
2021,Machine Learning Engineer,SE,FT,6583899.00,BE,BE,M,50
2021,Research Scientist,MI,FT,4984950.00,FR,FR,M,50
2021,Data Engineer,MI,FT,7161255.00,US,US,L,100
2021,Data Engineering Manager,SE,FT,12174134.00,US,US,L,100
2021,Cloud Data Engineer,SE,FT,12731120.00,BR,US,S,100
2021,Director of Data Science,SE,FT,13367676.00,JP,JP,S,0
2021,Data Scientist,MI,FT,11935425.00,US,US,M,100
2021,Data Scientist,MI,FT,6029299.00,CA,CA,L,100
2021,Data Scientist,EN,FT,1066231.00,UA,UA,L,100
2021,Data Science Manager,SE,FT,11458008.00,US,US,L,100
2021,Data Science Engineer,SE,FT,10122911.00,CA,CA,L,50
2021,Data Scientist,MI,FT,9473465.00,SG,IL,M,100
2021,Applied Machine Learning Scientist,MI,FT,33657899.00,US,US,L,50
2021,Data Analytics Manager,SE,FT,9548340.00,US,US,M,100
2021,Machine Learning Engineer,EN,FT,9946188.00,US,US,S,100
2021,Head of Data,EX,FT,18300985.00,RU,RU,L,50
2021,Head of Data Science,EX,FT,6763408.00,RU,RU,M,0
2021,Data Engineer,MI,FT,2257307.00,MT,MT,L,50
2021,Data Science Consultant,EN,FT,5079001.00,DE,DE,L,50
2021,Director of Data Science,EX,FT,10346104.00,DE,DE,M,50
2021,Data Specialist,SE,FT,13128968.00,US,US,L,100
2021,Data Engineer,EN,FT,6365560.00,US,US,L,100
2021,Director of Data Science,EX,FT,19892375.00,US,US,L,0
2021,BI Data Analyst,EN,FT,4376323.00,US,US,S,50
2021,Data Architect,MI,FT,11935425.00,US,US,L,100
2021,Data Architect,MI,FT,13526815.00,US,US,L,100
2021,Data Engineer,MI,FT,6566712.00,GB,GB,L,100
2021,Data Analyst,EN,FT,4774170.00,US,US,S,100
2021,Principal Data Scientist,SE,FT,18698833.00,US,US,L,100
2021,Research Scientist,SE,FT,4834404.00,PT,PT,L,50
2021,Data Engineering Manager,SE,FT,13845093.00,US,US,L,100
2021,Data Scientist,MI,FT,227489.00,MX,MX,S,0
2021,Data Scientist,MI,FT,3185804.00,CL,CL,L,100
2021,Machine Learning Engineer,EN,FT,6445130.00,US,US,S,50
2021,Data Scientist,MI,FT,451875.00,IN,US,S,100
2021,Big Data Engineer,MI,FT,1799146.00,IN,IN,L,0
2021,Data Scientist,MI,FT,7219659.00,DE,DE,L,50
2021,Data Engineer,MI,FT,2069205.00,RO,US,L,0
2021,Finance Data Analyst,SE,FT,4925034.00,GB,GB,L,50
2021,Machine Learning Scientist,MI,FL,954834.00,PK,PK,M,50
2021,Data Engineer,MI,FT,318278.00,IR,IR,M,100
2021,Data Analytics Engineer,SE,FT,3978475.00,VN,GB,M,100
2021,Data Science Consultant,EX,FT,5549256.00,FR,ES,S,100
2021,Data Engineer,SE,FT,6113563.00,RO,GB,S,50
2021,Machine Learning Engineer,MI,FT,5888143.00,JP,JP,S,50
2021,Data Science Manager,SE,FT,12094564.00,US,FR,L,100
2021,Machine Learning Engineer,EN,FT,1738116.00,CO,CO,M,50
2021,Big Data Engineer,MI,FT,1432251.00,MD,MD,S,0
2021,Data Science Manager,SE,FT,13845093.00,US,US,L,100
2021,Research Scientist,SE,FT,7647663.00,CA,CA,L,50
2021,Data Scientist,MI,FT,11696717.00,US,US,L,50
2021,BI Data Analyst,EN,FT,737768.00,KE,KE,S,100
2021,Machine Learning Engineer,SE,FT,1936881.00,IN,IN,L,100
2021,Data Science Manager,SE,FT,4304233.00,IN,US,L,50
2021,Data Science Consultant,EN,FT,7161255.00,US,US,S,100
2021,Data Scientist,MI,FT,4890898.00,DE,AT,M,50
2021,Machine Learning Infrastructure Engineer,SE,FT,15516053.00,US,US,M,100
2021,Data Scientist,MI,FT,3009716.00,ES,ES,L,100
2021,Research Scientist,SE,FT,3978475.00,FR,US,S,100
2021,Data Scientist,MI,FT,12731120.00,US,US,L,100
2021,Data Scientist,MI,FT,1026526.00,BR,BR,S,0
2021,Machine Learning Engineer,SE,FT,15913900.00,US,US,L,100
2021,Data Engineer,SE,FT,13128968.00,US,US,M,0
2021,Data Engineer,MI,FL,1591390.00,IT,US,L,0
2021,Data Analytics Manager,SE,FT,9548340.00,US,US,L,0
2021,Machine Learning Engineer,MI,FT,1975154.00,SI,SI,L,50
2021,Research Scientist,MI,FT,4514614.00,FR,FR,S,50
2021,Data Engineer,MI,FT,5253338.00,HK,GB,S,50
2021,Big Data Engineer,EN,FT,468028.00,IN,CH,L,0
2021,Machine Learning Engineer,EN,FT,1975154.00,DE,DE,M,50
2021,Principal Data Engineer,SE,FT,14720358.00,US,US,L,100
2021,Computer Vision Engineer,EN,PT,2276404.00,DK,DK,S,50
2021,Data Scientist,MI,FT,7219659.00,DE,DE,L,50
2021,Machine Learning Engineer,MI,FT,7054154.00,BE,BE,M,100
2021,Data Analytics Manager,SE,FT,11139730.00,US,US,L,100
2021,Machine Learning Engineer,MI,FT,3707700.00,PL,PL,L,100
2021,Data Scientist,MI,FT,9302789.00,GB,GB,L,50
2021,Data Scientist,MI,FT,2690086.00,IN,IN,M,0
2021,Data Scientist,MI,FT,4476262.00,GB,GB,L,50
2021,Machine Learning Scientist,SE,FT,17903138.00,US,CA,L,100
2021,Principal Data Scientist,EX,CT,33100912.00,US,US,S,100
2021,Data Scientist,SE,FT,6981269.00,CA,CA,S,100
2021,Data Scientist,MI,FT,7054154.00,DE,DE,L,50
2021,Data Scientist,SE,FT,10741883.00,US,US,L,0
2021,Data Analyst,SE,FT,5711976.00,CA,CA,M,100
2021,Big Data Engineer,EN,FT,1291254.00,IN,IN,L,100
2021,ML Engineer,SE,FT,20369792.00,US,US,S,100
2021,Director of Data Engineering,SE,FT,15913900.00,US,US,L,100
2021,Data Analyst,SE,FT,15913900.00,US,US,L,100
2021,Data Architect,MI,FT,14322510.00,US,US,L,100
2021,Head of Data Science,MI,FT,8752645.00,US,US,S,0
2021,Research Scientist,MI,FT,5077330.00,CA,CA,M,100
2021,Data Scientist,MI,FT,3724569.00,ES,ES,M,100
2021,Data Scientist,EN,FT,318278.00,VN,VN,M,0
2021,Data Engineer,EN,FT,1721645.00,IN,IN,M,50
2021,Data Scientist,SE,FT,8250641.00,CA,CA,L,100
2021,Data Analyst,MI,FT,6365560.00,US,US,L,100
2021,Data Engineer,MI,FT,8752645.00,US,US,L,100
2021,Data Scientist,SE,FT,13128968.00,US,US,L,100
2021,AI Scientist,EN,FT,1436468.00,IN,AS,S,100
2021,Data Engineer,MI,FT,5745873.00,GB,GB,L,50
2021,Data Scientist,EN,FT,2915665.00,FR,FR,L,50
2021,Data Engineer,MI,FT,963030.00,TR,TR,M,0
2021,Data Engineer,SE,FT,7661111.00,GB,GB,L,50
2021,Principal Data Analyst,SE,FT,13526815.00,US,US,M,100
2021,Data Scientist,MI,FT,9150493.00,US,US,L,50
2021,Data Scientist,EN,FT,7161255.00,US,US,S,100
2021,Principal Data Engineer,EX,FT,47741700.00,US,US,L,100
2021,Data Scientist,EN,FT,2259694.00,IN,IN,M,100
2021,Data Analyst,MI,FT,7399964.00,US,US,L,100
2021,Big Data Architect,SE,FT,7933318.00,CA,CA,M,50
2021,Data Engineer,MI,FT,15913900.00,US,US,L,100
2021,Principal Data Scientist,SE,FT,13826155.00,DE,DE,M,100
2021,Machine Learning Engineer,SE,FT,14720358.00,US,US,L,50
2021,Director of Data Science,EX,FT,11286615.00,DE,DE,L,0
2021,Data Scientist,MI,FT,10344035.00,US,US,L,50
2021,Data Analyst,SE,FT,5079001.00,DE,DE,L,50
2021,Data Scientist,MI,FT,1345043.00,IN,IN,S,100
2021,Machine Learning Engineer,SE,FT,5272673.00,IN,IN,L,0
2021,Data Scientist,MI,FT,2031568.00,RS,DE,S,100
2021,Lead Data Engineer,SE,FT,12731120.00,PR,US,S,50
2021,Data Engineer,MI,FT,7411899.00,US,US,M,0
2021,Data Engineer,MI,FT,8893881.00,US,US,M,0
2021,Data Engineer,MI,FT,2229219.00,TR,TR,M,100
2021,Data Engineer,EN,FT,5173052.00,DE,DE,M,50
2021,Data Engineer,EN,FT,5768789.00,US,US,L,100
2021,Computer Vision Engineer,SE,FT,1504421.00,BR,BR,M,0
2021,Data Science Consultant,EN,FT,6113563.00,DE,DE,L,0
2021,Machine Learning Engineer,EN,FT,6763408.00,NL,DE,S,100
2021,Data Scientist,SE,FT,6181277.00,FR,FR,M,50
2021,Data Scientist,EN,FT,7956950.00,US,US,M,100
2021,Data Scientist,EN,FT,4615031.00,US,US,L,50
2021,AI Scientist,SE,FT,4376323.00,ES,ES,L,100
2021,Data Scientist,SE,FT,1604996.00,TR,TR,L,50
2021,Business Data Analyst,EN,FT,4702717.00,LU,LU,L,100
2021,Data Engineer,MI,FT,8911784.00,US,US,L,100
2021,Research Scientist,EN,FT,7956950.00,JE,CN,L,0
2021,Data Engineer,MI,PT,5549256.00,NL,NL,L,100
2021,Staff Data Scientist,SE,CT,8354798.00,US,US,M,100
2021,Research Scientist,MI,FT,5569785.00,CZ,CZ,L,50
2021,Data Science Manager,SE,FT,7532447.00,IN,IN,L,50
2021,Head of Data,SE,FT,8182848.00,SI,SI,L,100
2021,Data Scientist,MI,FT,8673076.00,US,US,L,50
2021,Machine Learning Engineer,MI,FT,4063137.00,IT,IT,L,50
2022,Data Engineer,SE,FT,10741883.00,US,US,M,100
2022,Data Analyst,SE,FT,12333273.00,US,US,M,100
2022,Data Analyst,SE,FT,9596082.00,US,US,M,100
2022,Data Scientist,MI,FT,10344035.00,US,US,M,0
2022,Data Scientist,MI,FT,7161255.00,US,US,M,0
2022,Data Engineer,MI,FT,13526815.00,US,US,M,100
2022,Data Engineer,MI,FT,11935425.00,US,US,M,100
